c
0,4096,1500.0,0.0
4,0,1500.0,0.0
8,0,1500.0,0.0
12,0,1500.0,0.0
16,0,1500.0,0.0
20,0,1500.0,0.0
24,0,1500.0,0.0
28,0,1500.0,0.0
32,0,1500.0,0.0
36,0,1500.0,0.0
40,0,1500.0,0.0
44,0,1500.0,0.0
48,0,1500.0,0.0
52,0,1500.0,0.0
56,0,1500.0,0.0
60,0,1500.0,0.0
64,0,1500.0,0.0
68,0,1500.0,0.0
72,0,1500.0,0.0
76,0,1500.0,0.0
80,0,1500.0,0.0
84,0,1500.0,0.0
88,0,1500.0,0.0
92,0,1500.0,0.0
96,0,1500.0,0.0
100,0,1500.0,0.0
104,0,1500.0,0.0
108,0,1500.0,0.0
112,0,1500.0,0.0
116,0,1500.0,0.0
120,0,1500.0,0.0
124,0,1500.0,0.0
128,0,1500.0,0.0
132,0,1500.0,0.0
136,0,1500.0,0.0
140,0,1500.0,0.0
144,0,1500.0,0.0
148,0,1500.0,0.0
152,0,1500.0,0.0
156,0,1500.0,0.0
160,0,1500.0,0.0
164,0,1500.0,0.0
168,0,1500.0,0.0
172,0,1500.0,0.0
176,0,1500.0,0.0
180,0,1500.0,0.0
184,0,1500.0,0.0
188,0,1500.0,0.0
192,0,1500.0,0.0
196,0,1500.0,0.0
200,0,1500.0,0.0
204,0,1500.0,0.0
208,0,1500.0,0.0
212,0,1500.0,0.0
216,0,1500.0,0.0
220,0,1500.0,0.0
224,0,1500.0,0.0
228,0,1500.0,0.0
232,0,1500.0,0.0
236,0,1500.0,0.0
240,0,1500.0,0.0
244,0,1500.0,0.0
248,0,1500.0,0.0
252,0,1500.0,0.0
256,0,1500.0,0.0
260,0,1500.0,0.0
264,0,1500.0,0.0
268,0,1500.0,0.0
272,0,1500.0,0.0
276,0,1500.0,0.0
280,0,1500.0,0.0
284,0,1500.0,0.0
288,0,1500.0,0.0
292,0,1500.0,0.0
296,0,1500.0,0.0
300,0,1500.0,0.0
304,0,1500.0,0.0
308,0,1500.0,0.0
312,0,1500.0,0.0
316,0,1500.0,0.0
320,0,1500.0,0.0
324,0,1500.0,0.0
328,0,1500.0,0.0
332,0,1500.0,0.0
336,0,1500.0,0.0
340,0,1500.0,0.0
344,0,1500.0,0.0
348,0,1500.0,0.0
352,0,1500.0,0.0
356,0,1500.0,0.0
360,0,1500.0,0.0
364,0,1500.0,0.0
368,0,1500.0,0.0
372,0,1500.0,0.0
376,0,1500.0,0.0
380,0,1500.0,0.0
384,0,1500.0,0.0
388,0,1500.0,0.0
392,0,1500.0,0.0
396,0,1500.0,0.0
400,0,1500.0,0.0
404,0,1500.0,0.0
408,0,1500.0,0.0
412,0,1500.0,0.0
416,0,1500.0,0.0
420,0,1500.0,0.0
424,0,1500.0,0.0
428,0,1500.0,0.0
432,0,1500.0,0.0
436,0,1500.0,0.0
440,0,1500.0,0.0
444,0,1500.0,0.0
448,0,1500.0,0.0
452,0,1500.0,0.0
456,0,1500.0,0.0
460,0,1500.0,0.0
464,0,1500.0,0.0
468,0,1500.0,0.0
472,0,1500.0,0.0
476,0,1500.0,0.0
480,0,1500.0,0.0
484,0,1500.0,0.0
488,0,1500.0,0.0
492,0,1500.0,0.0
496,0,1500.0,0.0
500,0,1500.0,0.0
504,0,1500.0,0.0
